Body Frame,Type of Hair,Color of Hair,Skin,Complexion,Body Weight,Nails,Size and Color of the Teeth,Pace of Performing Work,Mental Activity,Memory,Sleep Pattern,Weather Conditions,Reaction under Adverse Situations,Mood,Eating Habit,Hunger,Body Temperature,Joints,Nature,Body Energy,Quality of Voice,Body Odor
Medium,Normal,Grey,"Soft,Sweating",Pinkish,Overweight,Blackish,"Irregular,Blackish",Slow,Stable,Long Term,Sleepy,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Skips Meal,More than Normal,Healthy,"Forgiving,Grateful",Low,Deep,Strong
Medium,Dry,Brown,"Dry,Rough",Glowing,Overweight,Redish,"Irregular,Blackish",Slow,Aggressive,Good Memory,Sleepy,Dislike Cold,Anxiety,Changes Slowly,Proper Chewing,Skips Meal,Normal,Weak,"Forgiving,Grateful",High,Deep,Mild
Well Built,Greasy,Black,"Dry,Rough",Glowing,Overweight,Redish,"Irregular,Blackish",Slow,Aggressive,Good Memory,Moderate,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Skips Meal,Normal,Heavy,"Forgiving,Grateful",Medium,Rough,Strong
Well Built,Greasy,Black,"Soft,Sweating",Glowing,Underweight,Pinkish,"Medium,Yellowish",Slow,Restless,Short term,Less,Dislike Cold,Anger,Changes Quickly,Improper Chewing,Skips Meal,Normal,Weak,"Jealous,Fearful",High,Deep,Negligible
Thin and Lean,Normal,Grey,"Soft,Sweating",Pinkish,Underweight,Blackish,"Large,White",Medium,Restless,Good Memory,Less,Dislike Cold,Anxiety,Constant,Improper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Egoistic,Fearless",High,Fast,Mild
Medium,Greasy,Black,"Dry,Rough",Glowing,Overweight,Pinkish,"Large,White",Medium,Restless,Short term,Sleepy,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Sudden and Sharp,More than Normal,Healthy,"Forgiving,Grateful",High,Fast,Mild
Medium,Greasy,Black,"Moist,Greasy",Glowing,Underweight,Redish,"Irregular,Blackish",Fast,Restless,Good Memory,Sleepy,Dislike Moist,Anger,Constant,Improper Chewing,Skips Meal,Less than Normal,Heavy,"Egoistic,Fearless",Low,Rough,Strong
Thin and Lean,Greasy,Brown,"Moist,Greasy",Pinkish,Underweight,Pinkish,"Irregular,Blackish",Medium,Restless,Good Memory,Sleepy,Dislike Moist,Anxiety,Changes Slowly,Proper Chewing,Sudden and Sharp,More than Normal,Weak,"Forgiving,Grateful",Medium,Rough,Negligible
Medium,Greasy,Brown,"Dry,Rough",Pinkish,Normal,Redish,"Irregular,Blackish",Medium,Aggressive,Long Term,Less,Dislike Moist,Anger,Changes Slowly,Proper Chewing,Sudden and Sharp,Normal,Weak,"Egoistic,Fearless",High,Rough,Negligible
Thin and Lean,Dry,Grey,"Soft,Sweating",Glowing,Overweight,Redish,"Large,White",Medium,Stable,Short term,Sleepy,Dislike Heat,Anger,Constant,Irregular Chewing,Sudden and Sharp,Less than Normal,Healthy,"Jealous,Fearful",Low,Deep,Mild
Well Built,Greasy,Brown,"Moist,Greasy",Glowing,Normal,Redish,"Irregular,Blackish",Medium,Stable,Short term,Less,Dislike Moist,Anger,Changes Quickly,Irregular Chewing,Sudden and Sharp,Less than Normal,Weak,"Forgiving,Grateful",High,Deep,Negligible
Medium,Normal,Grey,"Moist,Greasy",Pinkish,Underweight,Blackish,"Medium,Yellowish",Slow,Aggressive,Long Term,Moderate,Dislike Moist,Anger,Changes Quickly,Irregular Chewing,Sudden and Sharp,Normal,Healthy,"Egoistic,Fearless",Low,Fast,Mild
Well Built,Greasy,Grey,"Moist,Greasy",Glowing,Normal,Redish,"Irregular,Blackish",Fast,Restless,Good Memory,Less,Dislike Cold,Anxiety,Changes Slowly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Egoistic,Fearless",Low,Fast,Negligible
Well Built,Dry,Grey,"Moist,Greasy",Pinkish,Overweight,Blackish,"Medium,Yellowish",Medium,Stable,Long Term,Less,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Irregular,Less than Normal,Weak,"Forgiving,Grateful",High,Deep,Mild
Medium,Normal,Black,"Moist,Greasy",Dark,Normal,Pinkish,"Irregular,Blackish",Medium,Stable,Short term,Sleepy,Dislike Heat,Anger,Changes Quickly,Proper Chewing,Irregular,More than Normal,Healthy,"Egoistic,Fearless",Medium,Deep,Mild
Medium,Normal,Black,"Soft,Sweating",Pinkish,Normal,Blackish,"Large,White",Slow,Stable,Long Term,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Skips Meal,Less than Normal,Heavy,"Jealous,Fearful",Low,Deep,Strong
Medium,Normal,Grey,"Moist,Greasy",Glowing,Overweight,Blackish,"Medium,Yellowish",Slow,Aggressive,Long Term,Sleepy,Dislike Moist,Calm,Constant,Proper Chewing,Irregular,Normal,Weak,"Egoistic,Fearless",Medium,Rough,Negligible
Well Built,Dry,Black,"Soft,Sweating",Pinkish,Overweight,Redish,"Large,White",Slow,Aggressive,Long Term,Sleepy,Dislike Heat,Calm,Changes Slowly,Proper Chewing,Skips Meal,Normal,Healthy,"Egoistic,Fearless",High,Fast,Strong
Medium,Greasy,Grey,"Dry,Rough",Glowing,Normal,Blackish,"Medium,Yellowish",Slow,Stable,Good Memory,Less,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Sudden and Sharp,More than Normal,Weak,"Forgiving,Grateful",Medium,Rough,Strong
Well Built,Dry,Black,"Dry,Rough",Dark,Underweight,Redish,"Medium,Yellowish",Slow,Restless,Long Term,Less,Dislike Heat,Anxiety,Changes Slowly,Improper Chewing,Irregular,More than Normal,Heavy,"Jealous,Fearful",Medium,Fast,Negligible
Medium,Dry,Black,"Dry,Rough",Pinkish,Overweight,Blackish,"Medium,Yellowish",Medium,Stable,Short term,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Improper Chewing,Irregular,Less than Normal,Weak,"Egoistic,Fearless",Medium,Fast,Mild
Well Built,Normal,Brown,"Moist,Greasy",Dark,Underweight,Blackish,"Medium,Yellowish",Slow,Stable,Short term,Sleepy,Dislike Heat,Anxiety,Changes Slowly,Improper Chewing,Irregular,Normal,Healthy,"Egoistic,Fearless",Medium,Rough,Mild
Thin and Lean,Greasy,Brown,"Soft,Sweating",Pinkish,Underweight,Redish,"Medium,Yellowish",Fast,Restless,Long Term,Sleepy,Dislike Cold,Anger,Constant,Improper Chewing,Irregular,More than Normal,Heavy,"Forgiving,Grateful",Low,Deep,Strong
Thin and Lean,Dry,Grey,"Moist,Greasy",Pinkish,Normal,Redish,"Large,White",Slow,Stable,Long Term,Sleepy,Dislike Heat,Calm,Changes Slowly,Improper Chewing,Skips Meal,Normal,Heavy,"Forgiving,Grateful",Low,Deep,Strong
Well Built,Normal,Grey,"Moist,Greasy",Pinkish,Underweight,Blackish,"Irregular,Blackish",Medium,Restless,Long Term,Moderate,Dislike Cold,Calm,Constant,Proper Chewing,Irregular,More than Normal,Healthy,"Jealous,Fearful",High,Fast,Negligible
Thin and Lean,Greasy,Grey,"Soft,Sweating",Dark,Overweight,Redish,"Large,White",Medium,Aggressive,Good Memory,Less,Dislike Cold,Anxiety,Changes Slowly,Improper Chewing,Skips Meal,Less than Normal,Weak,"Forgiving,Grateful",Medium,Deep,Mild
Well Built,Greasy,Grey,"Moist,Greasy",Dark,Normal,Pinkish,"Medium,Yellowish",Medium,Stable,Short term,Sleepy,Dislike Cold,Calm,Constant,Proper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Forgiving,Grateful",High,Rough,Strong
Well Built,Normal,Grey,"Soft,Sweating",Glowing,Overweight,Redish,"Medium,Yellowish",Slow,Aggressive,Good Memory,Moderate,Dislike Cold,Anger,Constant,Proper Chewing,Irregular,Normal,Healthy,"Forgiving,Grateful",High,Rough,Negligible
Well Built,Greasy,Black,"Moist,Greasy",Glowing,Underweight,Pinkish,"Irregular,Blackish",Slow,Aggressive,Short term,Less,Dislike Cold,Calm,Changes Slowly,Improper Chewing,Skips Meal,Less than Normal,Healthy,"Egoistic,Fearless",Low,Fast,Mild
Medium,Dry,Brown,"Soft,Sweating",Dark,Normal,Pinkish,"Irregular,Blackish",Medium,Restless,Short term,Less,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Irregular,More than Normal,Healthy,"Egoistic,Fearless",High,Fast,Mild
Well Built,Dry,Black,"Soft,Sweating",Glowing,Underweight,Redish,"Irregular,Blackish",Medium,Restless,Short term,Sleepy,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Irregular,Less than Normal,Heavy,"Egoistic,Fearless",Low,Fast,Negligible
Medium,Greasy,Black,"Moist,Greasy",Pinkish,Underweight,Blackish,"Large,White",Fast,Restless,Short term,Less,Dislike Cold,Anger,Constant,Improper Chewing,Skips Meal,Normal,Weak,"Jealous,Fearful",Low,Fast,Negligible
Well Built,Greasy,Black,"Moist,Greasy",Glowing,Overweight,Pinkish,"Irregular,Blackish",Slow,Aggressive,Good Memory,Sleepy,Dislike Heat,Anxiety,Constant,Improper Chewing,Sudden and Sharp,More than Normal,Healthy,"Jealous,Fearful",High,Rough,Strong
Medium,Greasy,Brown,"Moist,Greasy",Pinkish,Normal,Blackish,"Large,White",Medium,Aggressive,Good Memory,Sleepy,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Egoistic,Fearless",Low,Rough,Mild
Medium,Dry,Black,"Moist,Greasy",Pinkish,Overweight,Redish,"Medium,Yellowish",Slow,Restless,Good Memory,Moderate,Dislike Cold,Anger,Changes Slowly,Improper Chewing,Sudden and Sharp,Normal,Healthy,"Egoistic,Fearless",Medium,Fast,Negligible
Medium,Greasy,Grey,"Moist,Greasy",Glowing,Underweight,Redish,"Irregular,Blackish",Slow,Aggressive,Good Memory,Sleepy,Dislike Moist,Calm,Constant,Improper Chewing,Skips Meal,Normal,Heavy,"Egoistic,Fearless",Low,Rough,Negligible
Well Built,Normal,Brown,"Soft,Sweating",Glowing,Normal,Blackish,"Large,White",Medium,Aggressive,Long Term,Less,Dislike Cold,Anger,Changes Quickly,Proper Chewing,Irregular,Less than Normal,Heavy,"Jealous,Fearful",Low,Rough,Negligible
Medium,Dry,Grey,"Moist,Greasy",Dark,Normal,Blackish,"Irregular,Blackish",Medium,Aggressive,Long Term,Less,Dislike Moist,Anxiety,Constant,Proper Chewing,Skips Meal,Normal,Heavy,"Egoistic,Fearless",High,Deep,Mild
Medium,Normal,Grey,"Moist,Greasy",Glowing,Underweight,Redish,"Irregular,Blackish",Slow,Aggressive,Good Memory,Sleepy,Dislike Moist,Anger,Changes Slowly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Egoistic,Fearless",Low,Fast,Mild
Thin and Lean,Greasy,Brown,"Moist,Greasy",Pinkish,Normal,Pinkish,"Large,White",Fast,Restless,Good Memory,Less,Dislike Cold,Calm,Changes Slowly,Irregular Chewing,Skips Meal,Less than Normal,Weak,"Forgiving,Grateful",Low,Deep,Strong
Medium,Normal,Brown,"Dry,Rough",Glowing,Overweight,Redish,"Irregular,Blackish",Fast,Restless,Long Term,Less,Dislike Cold,Anxiety,Changes Slowly,Improper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Strong
Thin and Lean,Dry,Brown,"Moist,Greasy",Dark,Underweight,Blackish,"Medium,Yellowish",Slow,Aggressive,Short term,Moderate,Dislike Heat,Anger,Changes Quickly,Proper Chewing,Irregular,Less than Normal,Heavy,"Jealous,Fearful",High,Deep,Negligible
Medium,Dry,Grey,"Moist,Greasy",Pinkish,Overweight,Blackish,"Irregular,Blackish",Slow,Stable,Good Memory,Moderate,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Irregular,Less than Normal,Heavy,"Egoistic,Fearless",Low,Fast,Negligible
Medium,Dry,Brown,"Dry,Rough",Pinkish,Normal,Redish,"Medium,Yellowish",Medium,Stable,Good Memory,Less,Dislike Moist,Anxiety,Constant,Irregular Chewing,Irregular,More than Normal,Heavy,"Egoistic,Fearless",High,Rough,Negligible
Thin and Lean,Normal,Black,"Moist,Greasy",Pinkish,Overweight,Redish,"Large,White",Medium,Stable,Short term,Less,Dislike Heat,Calm,Constant,Proper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Forgiving,Grateful",Medium,Fast,Mild
Well Built,Dry,Black,"Soft,Sweating",Pinkish,Overweight,Redish,"Irregular,Blackish",Fast,Restless,Long Term,Less,Dislike Moist,Anger,Constant,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Egoistic,Fearless",High,Fast,Negligible
Medium,Greasy,Black,"Moist,Greasy",Dark,Overweight,Redish,"Medium,Yellowish",Slow,Stable,Short term,Sleepy,Dislike Cold,Anger,Constant,Improper Chewing,Skips Meal,Less than Normal,Weak,"Jealous,Fearful",High,Rough,Negligible
Thin and Lean,Normal,Grey,"Dry,Rough",Pinkish,Underweight,Blackish,"Irregular,Blackish",Medium,Restless,Long Term,Sleepy,Dislike Cold,Anxiety,Changes Quickly,Improper Chewing,Irregular,Less than Normal,Weak,"Forgiving,Grateful",Medium,Deep,Negligible
Medium,Dry,Black,"Moist,Greasy",Pinkish,Overweight,Redish,"Large,White",Fast,Restless,Long Term,Less,Dislike Moist,Anxiety,Constant,Proper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Forgiving,Grateful",Medium,Rough,Mild
Well Built,Greasy,Grey,"Moist,Greasy",Dark,Overweight,Pinkish,"Large,White",Medium,Stable,Long Term,Moderate,Dislike Heat,Calm,Changes Quickly,Irregular Chewing,Irregular,More than Normal,Heavy,"Forgiving,Grateful",Low,Rough,Negligible
Thin and Lean,Dry,Black,"Moist,Greasy",Dark,Underweight,Blackish,"Medium,Yellowish",Slow,Stable,Long Term,Less,Dislike Moist,Calm,Constant,Improper Chewing,Sudden and Sharp,Normal,Weak,"Egoistic,Fearless",Low,Fast,Mild
Thin and Lean,Dry,Brown,"Moist,Greasy",Pinkish,Overweight,Pinkish,"Medium,Yellowish",Medium,Stable,Good Memory,Moderate,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Skips Meal,More than Normal,Heavy,"Forgiving,Grateful",Low,Fast,Strong
Thin and Lean,Dry,Black,"Soft,Sweating",Glowing,Overweight,Blackish,"Irregular,Blackish",Fast,Restless,Good Memory,Moderate,Dislike Moist,Calm,Changes Quickly,Irregular Chewing,Skips Meal,More than Normal,Healthy,"Egoistic,Fearless",Low,Deep,Mild
Well Built,Dry,Brown,"Moist,Greasy",Glowing,Overweight,Redish,"Large,White",Fast,Restless,Good Memory,Less,Dislike Moist,Anger,Constant,Irregular Chewing,Irregular,Less than Normal,Healthy,"Jealous,Fearful",Medium,Deep,Mild
Well Built,Dry,Grey,"Dry,Rough",Glowing,Overweight,Blackish,"Irregular,Blackish",Fast,Stable,Short term,Less,Dislike Heat,Anxiety,Constant,Proper Chewing,Sudden and Sharp,More than Normal,Healthy,"Egoistic,Fearless",Medium,Fast,Mild
Well Built,Dry,Brown,"Dry,Rough",Pinkish,Overweight,Redish,"Large,White",Slow,Restless,Good Memory,Less,Dislike Heat,Anxiety,Constant,Irregular Chewing,Sudden and Sharp,More than Normal,Weak,"Forgiving,Grateful",High,Deep,Mild
Thin and Lean,Dry,Brown,"Dry,Rough",Pinkish,Normal,Pinkish,"Irregular,Blackish",Slow,Aggressive,Long Term,Less,Dislike Cold,Anger,Changes Slowly,Proper Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",Low,Deep,Negligible
Medium,Normal,Brown,"Moist,Greasy",Glowing,Underweight,Redish,"Irregular,Blackish",Fast,Aggressive,Short term,Moderate,Dislike Heat,Anger,Constant,Improper Chewing,Irregular,Normal,Heavy,"Egoistic,Fearless",Low,Fast,Negligible
Well Built,Normal,Brown,"Dry,Rough",Dark,Normal,Pinkish,"Medium,Yellowish",Medium,Restless,Good Memory,Less,Dislike Cold,Calm,Constant,Irregular Chewing,Irregular,Less than Normal,Heavy,"Forgiving,Grateful",Low,Deep,Negligible
Thin and Lean,Greasy,Brown,"Dry,Rough",Glowing,Normal,Blackish,"Large,White",Fast,Restless,Short term,Less,Dislike Cold,Anger,Changes Slowly,Irregular Chewing,Sudden and Sharp,Normal,Weak,"Jealous,Fearful",High,Fast,Strong
Well Built,Normal,Grey,"Soft,Sweating",Dark,Overweight,Blackish,"Irregular,Blackish",Fast,Aggressive,Short term,Moderate,Dislike Moist,Anger,Constant,Irregular Chewing,Irregular,Normal,Healthy,"Egoistic,Fearless",Medium,Deep,Mild
Thin and Lean,Greasy,Black,"Dry,Rough",Dark,Normal,Pinkish,"Large,White",Medium,Stable,Long Term,Less,Dislike Cold,Anger,Constant,Improper Chewing,Sudden and Sharp,Normal,Healthy,"Jealous,Fearful",Medium,Deep,Mild
Medium,Dry,Brown,"Moist,Greasy",Dark,Underweight,Blackish,"Irregular,Blackish",Slow,Stable,Long Term,Sleepy,Dislike Cold,Anger,Changes Slowly,Proper Chewing,Sudden and Sharp,Normal,Weak,"Forgiving,Grateful",Medium,Rough,Mild
Thin and Lean,Greasy,Black,"Dry,Rough",Glowing,Underweight,Pinkish,"Irregular,Blackish",Medium,Aggressive,Long Term,Less,Dislike Heat,Anger,Constant,Irregular Chewing,Irregular,Less than Normal,Heavy,"Jealous,Fearful",Low,Deep,Strong
Medium,Dry,Grey,"Dry,Rough",Dark,Underweight,Redish,"Large,White",Fast,Aggressive,Short term,Moderate,Dislike Moist,Anxiety,Changes Slowly,Irregular Chewing,Skips Meal,More than Normal,Healthy,"Egoistic,Fearless",High,Deep,Strong
Thin and Lean,Greasy,Brown,"Dry,Rough",Glowing,Normal,Blackish,"Irregular,Blackish",Fast,Restless,Long Term,Less,Dislike Heat,Anger,Changes Slowly,Improper Chewing,Irregular,Less than Normal,Weak,"Forgiving,Grateful",High,Rough,Negligible
Well Built,Normal,Brown,"Moist,Greasy",Dark,Overweight,Redish,"Medium,Yellowish",Slow,Restless,Short term,Less,Dislike Moist,Anxiety,Constant,Proper Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",High,Fast,Mild
Medium,Dry,Grey,"Soft,Sweating",Pinkish,Underweight,Blackish,"Irregular,Blackish",Medium,Aggressive,Long Term,Less,Dislike Cold,Calm,Changes Quickly,Improper Chewing,Sudden and Sharp,Normal,Weak,"Forgiving,Grateful",Medium,Deep,Strong
Thin and Lean,Normal,Black,"Soft,Sweating",Dark,Underweight,Blackish,"Large,White",Slow,Stable,Long Term,Sleepy,Dislike Moist,Anger,Changes Quickly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Jealous,Fearful",Medium,Deep,Strong
Thin and Lean,Normal,Grey,"Moist,Greasy",Pinkish,Underweight,Blackish,"Irregular,Blackish",Medium,Stable,Short term,Sleepy,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Irregular,Normal,Weak,"Jealous,Fearful",High,Fast,Mild
Thin and Lean,Dry,Black,"Moist,Greasy",Dark,Normal,Pinkish,"Irregular,Blackish",Medium,Stable,Short term,Sleepy,Dislike Cold,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,Normal,Weak,"Egoistic,Fearless",Low,Deep,Mild
Well Built,Dry,Grey,"Dry,Rough",Pinkish,Overweight,Blackish,"Irregular,Blackish",Slow,Aggressive,Long Term,Moderate,Dislike Moist,Anxiety,Changes Slowly,Irregular Chewing,Irregular,Less than Normal,Weak,"Egoistic,Fearless",High,Fast,Strong
Thin and Lean,Normal,Grey,"Dry,Rough",Pinkish,Overweight,Redish,"Irregular,Blackish",Fast,Aggressive,Short term,Sleepy,Dislike Cold,Anger,Changes Quickly,Proper Chewing,Sudden and Sharp,Normal,Healthy,"Forgiving,Grateful",Low,Fast,Negligible
Well Built,Normal,Grey,"Moist,Greasy",Pinkish,Underweight,Blackish,"Medium,Yellowish",Fast,Aggressive,Short term,Sleepy,Dislike Cold,Anxiety,Changes Slowly,Proper Chewing,Irregular,Less than Normal,Weak,"Jealous,Fearful",Medium,Fast,Strong
Medium,Normal,Brown,"Soft,Sweating",Dark,Underweight,Redish,"Large,White",Slow,Stable,Short term,Moderate,Dislike Heat,Anger,Changes Slowly,Irregular Chewing,Sudden and Sharp,More than Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Negligible
Thin and Lean,Greasy,Grey,"Moist,Greasy",Dark,Normal,Redish,"Medium,Yellowish",Medium,Restless,Good Memory,Less,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Skips Meal,Less than Normal,Weak,"Egoistic,Fearless",Medium,Rough,Mild
Medium,Dry,Grey,"Soft,Sweating",Dark,Normal,Redish,"Irregular,Blackish",Medium,Stable,Long Term,Moderate,Dislike Cold,Calm,Changes Slowly,Irregular Chewing,Irregular,Less than Normal,Weak,"Egoistic,Fearless",Low,Rough,Mild
Well Built,Greasy,Grey,"Dry,Rough",Pinkish,Overweight,Blackish,"Irregular,Blackish",Fast,Restless,Long Term,Sleepy,Dislike Cold,Anxiety,Changes Quickly,Proper Chewing,Skips Meal,Less than Normal,Heavy,"Forgiving,Grateful",High,Fast,Strong
Well Built,Normal,Brown,"Dry,Rough",Pinkish,Normal,Blackish,"Medium,Yellowish",Fast,Restless,Long Term,Less,Dislike Heat,Anxiety,Changes Slowly,Proper Chewing,Irregular,Normal,Healthy,"Forgiving,Grateful",Medium,Rough,Mild
Well Built,Greasy,Grey,"Dry,Rough",Pinkish,Normal,Pinkish,"Irregular,Blackish",Fast,Aggressive,Short term,Less,Dislike Heat,Anxiety,Changes Slowly,Irregular Chewing,Irregular,Normal,Weak,"Jealous,Fearful",Low,Rough,Strong
Well Built,Greasy,Brown,"Soft,Sweating",Pinkish,Overweight,Pinkish,"Irregular,Blackish",Medium,Stable,Good Memory,Sleepy,Dislike Moist,Calm,Changes Quickly,Irregular Chewing,Sudden and Sharp,Normal,Weak,"Egoistic,Fearless",High,Rough,Negligible
Medium,Dry,Brown,"Dry,Rough",Glowing,Normal,Pinkish,"Medium,Yellowish",Slow,Stable,Long Term,Moderate,Dislike Heat,Anger,Constant,Proper Chewing,Irregular,More than Normal,Weak,"Egoistic,Fearless",High,Rough,Negligible
Medium,Normal,Black,"Dry,Rough",Glowing,Underweight,Redish,"Medium,Yellowish",Slow,Restless,Good Memory,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Improper Chewing,Irregular,Less than Normal,Weak,"Jealous,Fearful",Medium,Deep,Strong
Medium,Greasy,Grey,"Soft,Sweating",Dark,Normal,Redish,"Large,White",Medium,Stable,Good Memory,Moderate,Dislike Heat,Anxiety,Changes Quickly,Improper Chewing,Skips Meal,More than Normal,Healthy,"Jealous,Fearful",High,Rough,Negligible
Medium,Greasy,Brown,"Dry,Rough",Glowing,Normal,Blackish,"Large,White",Fast,Stable,Long Term,Moderate,Dislike Moist,Anxiety,Constant,Improper Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",Low,Rough,Strong
Medium,Normal,Brown,"Soft,Sweating",Dark,Underweight,Redish,"Irregular,Blackish",Medium,Stable,Long Term,Less,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Sudden and Sharp,Normal,Heavy,"Jealous,Fearful",Low,Rough,Strong
Thin and Lean,Greasy,Brown,"Moist,Greasy",Glowing,Underweight,Pinkish,"Irregular,Blackish",Medium,Stable,Short term,Less,Dislike Moist,Anger,Changes Slowly,Irregular Chewing,Irregular,Less than Normal,Heavy,"Forgiving,Grateful",Low,Rough,Mild
Medium,Normal,Black,"Soft,Sweating",Dark,Normal,Blackish,"Irregular,Blackish",Fast,Restless,Good Memory,Moderate,Dislike Cold,Anxiety,Changes Slowly,Proper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Jealous,Fearful",High,Deep,Negligible
Medium,Greasy,Brown,"Soft,Sweating",Dark,Underweight,Redish,"Irregular,Blackish",Fast,Aggressive,Good Memory,Sleepy,Dislike Cold,Calm,Constant,Irregular Chewing,Skips Meal,Normal,Weak,"Forgiving,Grateful",Low,Deep,Negligible
Well Built,Greasy,Grey,"Soft,Sweating",Pinkish,Overweight,Blackish,"Medium,Yellowish",Slow,Stable,Short term,Sleepy,Dislike Cold,Anxiety,Constant,Improper Chewing,Skips Meal,Normal,Heavy,"Egoistic,Fearless",High,Fast,Mild
Thin and Lean,Dry,Brown,"Moist,Greasy",Pinkish,Underweight,Redish,"Large,White",Slow,Stable,Long Term,Moderate,Dislike Cold,Anger,Changes Quickly,Proper Chewing,Sudden and Sharp,Normal,Heavy,"Egoistic,Fearless",Low,Fast,Strong
